incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,San Bernardino,534.0,-117.048397,34.071556,Unknown,True,17.151335,2180563,3.0,7
CAL FIRE Santa Clara Unit,Contra Costa,274.0,-121.74367,39.90465,Unknown,True,30.117584,1162648,0.0,7
CAL FIRE San Benito-Monterey Unit ,Monterey,105.0,-120.8973,36.1531,Unknown,True,31.959333,437609,0.0,6
CAL FIRE Santa Clara Unit,Contra Costa,492.0,-121.91453,37.96866,Unknown,True,14.813842,1162648,0.0,7
CAL FIRE Lassen-Modoc Unit,Modoc,502.0,-121.035,41.2415,Unknown,True,25.783861,8651,2.0,7
CAL FIRE Tehama-Glenn Unit,Tehama,200.0,-122.079871,40.012398,Unknown,True,36.645416,65484,0.0,7
CAL FIRE Santa Clara Unit,Alameda,50.0,-121.5869,37.7393,Unknown,True,29.601084,1663823,0.0,7
CAL FIRE Santa Clara Unit / Alameda County Fire,Alameda,38.0,-121.86216,37.74241,Unknown,True,18.981333,1663823,0.0,7
CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,7055.0,-116.47381,32.95435,Unknown,True,28.116583,3289701,9.0,7
CAL FIRE San Luis Obispo,San Luis Obispo,85.0,-120.83417,35.62743,Unknown,True,18.743,281712,0.0,7
CAL FIRE Nevada-Placer-Yuba Unit,Yuba,73.0,-121.31634,39.206,Unknown,True,26.980583,81705,0.0,7
CAL FIRE Shasta-Trinity Unit,Shasta,43.0,-122.7338,40.373,Unknown,True,29.034002,181852,0.0,7
Eldorado National Forest,El Dorado,572.0,-120.298,38.774,Unknown,False,24.001894,191713,3.0,7
CAL FIRE Santa Clara Unit,Santa Clara,50.0,-121.7804,37.1438,Unknown,True,15.974917,1916831,0.0,7
CAL FIRE Santa Clara Unit,Stanislaus,150.0,-121.1955,37.436,Unknown,True,25.166832,552063,1.0,7
CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,27531.0,-116.72885,33.7095,Unknown,True,15.722526,2429487,15.0,7
Six Rivers National Forest,Humboldt,0.0,-123.376,41.333,Unknown,False,23.051834,136132,0.0,8
San Bernardino County Fire,San Bernardino,75.0,-117.352,34.316,Unknown,True,24.739248,2180563,1.0,7
CAL FIRE San Diego Unit,San Diego,25.0,-116.707335,32.612773,Unknown,True,20.961584,3289701,0.0,7
Sierra National Forest,Fresno,22992.0,-119.318,37.279,Unknown,False,21.89466,1008280,64.0,9
Klamath National Forest,Siskiyou,14754.0,-123.176,41.32,Unknown,False,22.894577,44049,31.0,8
CAL FIRE Butte Unit,Butte,92.0,-121.50354,39.6612,Unknown,True,24.47877,213605,3.0,8
CAL FIRE / Riverside County Fire,Riverside,150.0,-117.164997,33.990128,Unknown,True,25.584875,2429487,1.0,7
CAL FIRE/Riverside County  Fire,Riverside,60.0,-116.99895,33.91027,Unknown,True,23.382833,2429487,0.0,8
Kern County Fire,Kern,612.0,-118.93388,34.90327,Unknown,True,24.860277,906883,2.0,7
CAL FIRE Mendocino Unit,Mendocino,45.0,-123.067671,38.980846,Unknown,True,22.882166,91145,0.0,7
CAL FIRE / Kern County Fire / State Parks / US Forest Service,Kern,500.0,-118.9194,34.882,Unknown,True,15.900027,906883,3.0,7
CAL FIRE Tehama-Glenn Unit,Tehama,195.0,-122.330879,39.961309,Unknown,True,30.710999,65484,0.0,7
CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,158.0,-122.51253,38.17693,Unknown,True,17.155584,488436,0.0,7
